"","p","PL BIC","Exp BIC","TPL BIC","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.618,10426218.4659024,10276254.4242198,10205248.979278,2.8327545418113,0.654158889942664,1.22923270071478,0.353025285023135
"2",0.62,31172877.3880322,30762837.622381,30524654.0693615,2.79691494171583,0.634510879276344,1.26331689966872,0.330461595484381
"3",0.625,207167526.633371,205199061.764094,203040052.134483,2.67811538445784,0.570097188179581,1.33763768324394,0.267771131369141
"4",0.63,424959059.68228,422605272.314356,416777343.199964,2.55909112820114,0.505949695592537,1.38680250095205,0.214519970105744
"5",0.64,814457969.50544,816416159.155044,799518455.500165,2.36669016907745,0.403159788418409,1.43207601562863,0.143329561117662
"6",0.65,1201089438.54114,1215622177.4949,1180218063.26754,2.21131816211594,0.320910592920438,1.45595878823328,0.0956040066480419
"7",0.68,2275985583.25259,2426175325.79816,2247342369.71409,1.87325890994035,0.146251938670607,1.50353278395384,0.0217782411730767
"8",0.7,2734877052.89265,3159415977.52493,2714749686.97553,1.71687150833546,0.0689209224055058,1.53575916888524,0.00456048321789364
"9",0.72,2609820617.59919,3804924779.47473,2594838900.27368,1.63280504555862,0.0168443535330572,1.57357819113358,1.49011611938477e-08
"10",0.74,1315253087.89372,1684492384.3393,1314014906.03094,1.93638589424615,0.0974851289831745,1.92168284431153,1.49011611938477e-08
