,p,PL BIC,TPL BIC,Exp BIC,PL expo,Exp trunc,TPL expo,TPL trunc
1,0.618,6268.93311,5900.584001,5973.845113,1.759920258,0.344483121,0.701610765,0.187476829
2,0.62,35189.73889,33100.15271,33574.4646,1.782079629,0.364348235,0.714158681,0.197761546
3,0.625,357764.3682,338225.2716,345498.0259,1.758931475,0.333964346,0.811539295,0.159127533
4,0.63,645393.4653,613141.1659,630837.0461,1.740773838,0.30908267,0.892839498,0.13017019
5,0.64,950530.5615,910175.6941,951609.9053,1.703032283,0.260674218,1.015415968,0.086925404
6,0.65,1106264.005,1066078.635,1134643.659,1.672420007,0.221396124,1.105465116,0.059248186
7,0.68,1088569.906,1068446.727,1243356.725,1.608556189,0.126139039,1.333950035,0.014100004
8,0.7,836427.6494,832828.199,1091108.167,1.605602635,0.080211624,1.605116678,0.001457732
9,0.72,512372.6266,512275.0342,849634.5136,1.674211565,0.047478108,1.672198491,1.49E-08
10,0.74,258045.086,0,618281.0467,1.860296921,0.02741435,0,0
