"","p","PL","TPL","Exp","PL expo","Exp trunc","TPL expo","TPL trunc"
"1",0.618,6268.93311004754,5900.58400141719,5973.8451133859,1.75992025818801,0.34448312093895,0.701610764667682,0.187476829413714
"2",0.62,35189.7388894497,33100.1527108553,33574.4645977198,1.78207962886528,0.36434823540817,0.714158680965604,0.197761546369102
"3",0.625,357764.36818437,338225.271645051,345498.025942712,1.75893147541715,0.333964345547757,0.811539294717309,0.159127533003102
"4",0.63,645393.465288152,613141.165912571,630837.04610906,1.74077383772148,0.309082669914122,0.892839498006616,0.130170190397009
"5",0.64,950530.561481791,910175.694091046,951609.905334138,1.70303228258664,0.260674217531263,1.01541596797631,0.0869254038132356
"6",0.65,1106264.00521432,1066078.63456598,1134643.65947838,1.67242000665308,0.221396123804676,1.10546511644105,0.0592481863281058
"7",0.68,1088569.90565456,1068446.72668198,1243356.7247181,1.60855618908624,0.126139039300781,1.33395003543654,0.0141000042599318
"8",0.7,836427.649425632,832828.19899279,1091108.16687239,1.60560263540218,0.0802116239785157,1.60511667837022,0.0014577320663436
"9",0.72,512372.62661628,512275.034167341,849634.513634444,1.67421156527919,0.047478107963905,1.67219849115644,1.49011611938477e-08
"10",0.74,258045.086020833,0,618281.046663672,1.86029692090247,0.0274143504839136,0,0
